subject_id,FF_alpha_entropy_gap,FF_alpha_entropy_imagined,FF_alpha_entropy_real,FF_alpha_lzc_gap,FF_alpha_lzc_imagined,FF_alpha_lzc_real,FF_beta_entropy_gap,FF_beta_entropy_imagined,FF_beta_entropy_real,FF_beta_lzc_gap,FF_beta_lzc_imagined,FF_beta_lzc_real,LRF_alpha_entropy_gap,LRF_alpha_entropy_imagined,LRF_alpha_entropy_real,LRF_alpha_lzc_gap,LRF_alpha_lzc_imagined,LRF_alpha_lzc_real,LRF_beta_entropy_gap,LRF_beta_entropy_imagined,LRF_beta_entropy_real,LRF_beta_lzc_gap,LRF_beta_lzc_imagined,LRF_beta_lzc_real,FF_tar_gap,FF_tar_imagined,FF_tar_real,LRF_tar_gap,LRF_tar_imagined,LRF_tar_real,resting_beta_entropy,resting_alpha_entropy,resting_beta_lzc,resting_alpha_lzc,resting_tar
S001,0.005253858119361766,-0.003123063836367133,0.0021307942829946,0.013978256494476668,-0.0046393972291977,0.0093388592652789,-0.0010415801608372334,-0.002303301234478867,-0.0033448813953161002,0.007349392589879465,-0.00024403618288406672,0.0071053564069953334,-9.002703516733436e-06,0.008522398549354467,0.0085133958458377,-0.0038908549005243673,0.008330119105883667,0.0044392642053593,0.0085585163375503,0.0012751771095841334,0.009833693447134398,-0.006772969641653533,0.0076817793552211334,0.0009088097135676333,0.00676534266064113,-0.20389401696423923,-0.19712867430359804,-0.18594269903716606,0.07422234015383807,-0.11172035888332793,0.9304058680864772,0.9307883533119318,0.7660219229009165,0.5143413891978994,1.394371749501211
S002,-0.009382036972481333,0.014420320720626734,0.005038283748145366,-0.004611383585806633,0.004752411823728433,0.00014102823792176643,-0.0031398886114632333,-0.0003198806788765667,-0.0034597692903397662,-0.0047554893228632005,0.014894137651937733,0.010138648329074566,-0.0005288633944976333,0.013910341868127432,0.013381478473629799,0.0002882114741128332,0.004752411823728433,0.0050406232978413,0.0025592595845077334,-0.0002291178474587667,0.0023301417370489665,-0.000288211474113,0.011579705699639268,0.011291494225526265,-0.12396128925433636,-0.032423698381291034,-0.15638498763562747,0.20451298158494072,-0.07268595827047797,0.13182702331446275,0.9548557101843258,0.9367917045579548,0.7632768424529502,0.5046613686708603,0.7010212429158341
S003,0.0093943110836765,-0.014248591942890465,-0.0048542808592139325,-0.005908335219314866,-0.0033350019705384337,-0.009243337189853268,-0.003879811131680467,-0.0073962878636433665,-0.011276098995323799,-0.0048995950599194996,-0.02886257380930123,-0.03376216886922077,0.0078580865532302,-0.008604972432057767,-0.0007468858788275334,-0.0070611811157666,-0.0007410987035221337,-0.007802279819288699,-0.005841169631382766,-0.0029897382865497328,-0.008830907917932533,-0.020318908924960934,-0.002779435402081833,-0.023098344327042733,-0.5066220453251957,0.49504108907581273,-0.01158095624938299,-0.13082810405704484,0.2919788512983969,0.16115074724135212,0.9525641399753668,0.936716203415948,0.7992518441131404,0.511451830831619,1.8016380344832132
S004,-0.0090136286237663,-0.0034709971809084006,-0.012484625804674734,0.0054760180081455,0.0029900188471283667,0.0084660368552738,0.0046559637452708,-0.006681295103210667,-0.0020253313579399333,0.0037467491634679,-0.012236075584205001,-0.008489326420737067,0.0005216736537343331,-0.005297220814677234,-0.004775547160942867,0.0015851631076210333,0.006880873747652867,0.008466036855273867,0.0016043607016342665,-0.0015675762041071999,3.678449752706666e-05,-0.006196546693427833,-0.0027250969384786995,-0.0089216436319065,2.424614524500457,-0.2620619875677292,2.1625525369327274,0.6268432540253365,0.5734192487995594,1.2002625028248959,0.9692772795297124,0.9674227914788474,0.778158068039294,0.5175199034008079,1.531453997239992
S005,0.0046580870709355335,0.011313300319204399,0.0159713873901399,0.007637604063992501,-0.0041966589428168,0.0034409451211756662,-0.008854642708378,-0.010209318478028034,-0.019063961186406034,-0.0069170753787102,-0.013847291379855034,-0.02076436675856527,0.006457671346627367,0.007241217963507132,0.013698889310134433,0.007493498326935767,-0.0011704384646310333,0.0063230598623047,-0.006018309012312334,-0.007383506775584767,-0.013401815787897167,-0.002305691792903433,-0.009524119268161267,-0.0118298110610647,-0.39802171415785753,-0.16444121005316725,-0.5624629242110247,-0.04699092042997166,-0.1800224065203407,-0.22701332695031232,0.9806895374332206,0.938703865483362,0.7882715223212753,0.510296007485107,1.6777035297978644
S006,-0.0001431967533361998,0.014128170830893733,0.013984974077557569,0.006052440956371367,0.009925331107458734,0.015977772063830064,-0.004841901610768467,-0.006528583800394234,-0.011370485411162734,0.004899595059919667,-0.007354345224647968,-0.0024547501647283333,0.0028402904222926996,0.008484711789175934,0.011325002211468633,0.004034960637580866,0.0097812253704023,0.013816186007983169,-0.0104464167831484,-0.004348078185404467,-0.014794494968552901,0.0017292688446774,-0.0047604419576316,-0.0030311731129541667,0.18884353030524426,-0.7325456920776894,-0.5437021617724452,-0.34438246329997346,-0.9296789073185153,-1.2740613706184887,0.974966199804102,0.9471313834562056,0.7850930081183667,0.510440485403421,3.1500441796698304
S007,0.0029626503106583,-0.0093863516379738,-0.006423701327315467,0.005187806534032533,-0.0053212190636941666,-0.00013341252966163342,0.0147634966449436,-0.005010033539745801,0.009753463105197799,0.021039437610243298,-0.030782542638612038,-0.009743105028368695,0.012179463832607802,-0.013577772128906901,-0.0013983082962991666,-0.0015851631076210665,-0.0044565846413554,-0.006041747748976499,0.014042055642294734,-0.007006584988701467,0.007035470653593234,0.0187337458173399,-0.0250183131563535,-0.006284567339013634,0.09613520685709649,-0.1396568782363702,-0.04352167137927376,0.012857900608937567,-0.11191393415638166,-0.09905603354744409,0.9274442232839538,0.9450908486036548,0.761398629514868,0.4993156856932417,0.5552891018621164
S008,-0.00034906108278396725,0.006239547548707733,0.005890486465923733,0.005620123745202001,-0.008498616722829833,-0.002878492977627834,-0.009150419555433833,-5.4011443118300084e-05,-0.009204430998552067,-0.004899595059919667,-0.004192579178329833,-0.009092174238249533,-0.0140388000508578,-0.0023228590281176996,-0.016361659078975535,0.0063406524304843,-0.014983374890370599,-0.0086427224598863,0.0017253163686479335,-0.0015240193070179002,0.0002012970616300003,0.0048995950599195,-0.004624896389499067,0.00027469867042040005,0.5467156486062685,-0.17140299894639988,0.3753126496598686,0.7246464458477259,-0.2028187786099774,0.5218276672377484,0.9736439816726956,0.9174395545543088,0.7884160002395892,0.502060766141208,1.74931173186688
S009,0.012012218637590034,0.004354241481523867,0.016366460119113902,0.006340652430484165,0.009953244701775632,0.016293897132259767,0.0024102541634370665,-0.0017875671212425998,0.0006226870421944668,-0.008358132749274634,0.010940756300143933,0.0025826235508693003,0.00023873349399516677,0.014268221311523466,0.014506954805518599,0.0021615860558469335,0.012403042231735365,0.014564628287582334,-0.000659468351104767,0.003561868073905494,0.002902399722800767,-0.007493498326935966,0.010076121877805233,0.0025826235508692665,0.511567879856287,-0.045975363747287466,0.4655925161089996,0.4841347974872705,-0.18064333537354457,0.30349146211372585,0.95322342403302,0.9039242799162948,0.7875491327297051,0.4996046415298696,1.1741476778332132
S010,0.001758164085277533,0.009808375920458266,0.011566540005735801,-0.0028821147411291336,-0.0005973651477232667,-0.0034794798888524,-0.005218850261551,0.0017826898643355002,-0.0034361603972155666,-0.0028821147411291995,-0.0025352129067427996,-0.005417327647872001,-0.0009679473361098335,0.0103317186261701,0.009363771290060266,-0.004034960637580767,0.0014201151710671663,-0.0026148454665137003,-0.0011407694341121002,-0.0051169219042926,-0.006257691338404728,0.0040349606375809,-0.017666315297671133,-0.013631354660090233,-0.5010653369506105,-0.1636913260301978,-0.6647566629808083,0.062332087832614826,-0.42495556069979806,-0.36262347286718316,0.9400408216340476,0.9328045785424004,0.7603872840866699,0.5115963087499331,1.850389536532516
