subject_id,rpl_alpha,tar,resting_alpha_power,resting_total_power,alpha_power_c3,alpha_power_c4,alpha_asymmetry,rpl_lower_beta,resting_lower_beta_power,rpl_upper_beta,resting_upper_beta_power,smr_strength,IAF_c3,alpha_peak_amp_c3,beta_peak_amp_c3,beta_center_freq_c3,aperiodic_exp_c3,IAF_c4,alpha_peak_amp_c4,beta_peak_amp_c4,beta_center_freq_c4,aperiodic_exp_c4,alpha_var_C3,alpha_cv_C3,alpha_var_C4,alpha_cv_C4,coherence_mu,coherence_beta,coherence_low_beta,coherence_upper_beta,pse_C3,pse_C4,pse_Cz,pse_avg,lzc_C3,lzc_C4,lzc_Cz,lzc_avg
S001,0.1947405158675568,0.6753796137870991,8.242792091358722e-12,4.232705276884781e-11,6.628976330324024e-12,1.0396504331558854e-11,0.45001923505273567,0.07977805432007416,3.3767699150017863e-12,0.08623806889745762,3.650203292906222e-12,7.383303995364123,11.980873607342618,9.004300526760622,4.833007473075124,23.823146601694972,0.44943182993494607,11.937755539542177,5.766410515797542,3.1454140405620428,23.17348623226343,0.18080645918864283,6.602451847764275e-12,0.06102470518772895,4.665315247380289e-12,0.04350504658295818,0.141254016678748,0.11547878405941189,0.12320809621300859,0.10952014332909836,0.977108017306303,0.9883664575600185,0.9942306198542495,0.986568364906857,0.0027157101296004607,0.009504985453601613,0.013578550648002305,0.008599748743734793
S002,0.20216606196835382,0.6240977964135537,7.847295232389512e-12,3.881608592454006e-11,6.816839054886976e-12,4.408732442152836e-12,-0.43580866266627893,0.11288925993064704,4.3819192134257326e-12,0.20961088916424908,8.136274284518735e-12,5.825719575597283,11.736620178501177,3.738507000476771,4.490563117597109,23.014317006951007,0.33474718569798523,9.268364821024859,4.480068974738781,7.161100030373337,23.689519783544487,0.3457638993324211,2.553284873796624e-12,0.02464908590419686,1.4274192290296279e-12,0.01395783304382962,0.17578950804387936,0.14109206742051306,0.13550275837233278,0.14450464713667552,0.9977504200613527,0.9988430577703324,0.9877864792606716,0.9947933190307857,0.005431420259200921,0.0801134488232136,0.021725681036803685,0.0357568500397394
S003,0.09918317577358357,1.9459520666866479,3.021945511823299e-10,3.046832780109632e-09,1.9908508239507255e-11,8.757055383373334e-10,3.7838827008958944,0.061177866103968886,1.8639872786273035e-10,0.04374505140481628,1.3328385658777514e-10,1.9059044557318288,,1.666649761445326,0.6924659464586369,19.755724568159817,0.24320461373516644,,2.1452152369794053,1.116253371142007,20.60642095505476,0.19535224586616431,5.2544936578988566e-12,0.045894548774919094,2.6722219110673594e-10,0.4157921093240438,0.12352758814598036,0.12224315545257883,0.12172976039101066,0.12202544240288819,0.9807523380283947,0.9523767052114515,0.9952322755213724,0.9761204395870728,0.0027157101296004607,0.021725681036803685,0.0027157101296004607,0.009052367098668202
S004,0.09490607893119596,1.3709960768071126,2.1622277069755184e-12,2.278281571977142e-11,2.7933096152171156e-12,2.2829656351248674e-12,-0.20175181989079505,0.07532108240892466,1.7160263403362472e-12,0.06396113247058789,1.4572146943052921e-12,2.2824857486193366,,1.3666658069226327,1.6103545064482134,23.556272570353848,0.2818713531690596,,1.3392175457698128,1.5198698847421022,20.768828708055917,0.2259901698233302,8.387822334772751e-13,0.008188876998602728,7.11292457220544e-13,0.006989296749738399,0.12482505800551116,0.13302732439180903,0.11014263738035113,0.14912272940519292,0.9982955519094542,0.999229444126463,0.9998736635634913,0.9991328865331361,0.0027157101296004607,0.0027157101296004607,0.006789275324001152,0.004073565194400691
S005,0.058462719275940524,3.3741979223417267,4.349915426748635e-12,7.440494524753964e-11,4.316240075674079e-12,5.4365506103220535e-12,0.23076011034399713,0.05940417843832758,4.419964644178838e-12,0.042855588298535176,3.1886677009036103e-12,1.5802993865235067,,1.7401822531045033,1.4269724529246108,16.904285160573917,0.21454796011536947,8.512015438024784,1.2133064483578029,1.0689304104515283,19.043910370994702,0.19572423836529237,1.508903136312712e-12,0.014573275683763754,3.4183595082001174e-12,0.03181823399614958,0.1679351355997642,0.12704794648097456,0.14867291780297323,0.11140196347754301,0.9969573210485039,0.9919423261430855,0.9989160762480649,0.9959385744798848,0.10591269505441797,0.0027157101296004607,0.10998626024881865,0.07287155514427902
S006,0.08435778861662573,1.9278797800932452,2.505395464315129e-12,2.969963420569504e-11,3.1750716715523462e-12,3.5837388225031084e-12,0.12107641346463893,0.08861438475022548,2.631814812444418e-12,0.0911919921814553,2.7083688102778243e-12,3.2288588546113033,,1.9269032750492805,1.1881104459680565,19.480824758865673,0.31512967803625513,,1.3224425293124338,4.524662188465657,26.19863355578086,0.4585067383439985,1.5647120743207455e-12,0.015176796308939632,1.573135627068799e-12,0.015258637989324256,0.12456712807085461,0.1227258490682967,0.13854577855774833,0.11145441777074173,0.9978207227258475,0.9989544074560746,0.9998332660957344,0.9988694654258855,0.0027157101296004607,0.0027157101296004607,0.0027157101296004607,0.0027157101296004607
S007,0.3790580307537073,0.5359378702027745,1.5279008247608998e-11,4.0307834178393976e-11,1.1050587561481503e-11,1.7285370740088968e-11,0.44737692226873804,0.10761872082536549,4.337877553519707e-12,0.0905722647030222,3.650771826811024e-12,5.16872234755845,12.268547751477039,5.729032648280726,1.8218157444726601,23.607732000443402,0.10533188146048458,10.66281128480255,4.609499688014149,2.7789892428624237,18.36249835728432,0.6427164758924877,6.653518050813356e-12,0.06149035426110312,9.766874447377383e-12,0.08773044646216879,0.22119309088923841,0.15896779149415888,0.17434160706050233,0.14810472888816154,0.9863572368205876,0.9900229518110757,0.9722179141707753,0.9828660342674795,0.07332417349921244,0.0027157101296004607,0.07332417349921244,0.04978801904267512
S008,0.10673207952990152,1.603177337545477,2.594838987547306e-12,2.4311706461414436e-11,2.905167040747779e-12,3.00087841534941e-12,0.032414161156783194,0.06066511367395903,1.474872436089631e-12,0.05145556905504837,1.2509726906713761e-12,1.6237302713708175,8.283554976234942,1.0569236254492496,1.7628778853354534,23.579031325404994,0.5579530525355008,,1.484998676760846,1.03422327001071,22.803596074888272,0.3595595053875826,1.0363088221137849e-12,0.010158204498953854,9.521760028279665e-13,0.009325692994071166,0.12624990949299608,0.12329391964853784,0.12654307086527197,0.12049049255192186,0.9993582114745743,0.9986074306425419,0.9986968654134429,0.9988875025101863,0.006789275324001152,0.0027157101296004607,0.005431420259200921,0.004978801904267512
S009,0.0787356262769471,1.215917724406347,8.033461310038764e-12,1.0203083013249456e-10,8.368019479743263e-12,9.028817349116289e-12,0.07600415455653575,0.16728147710936833,1.7067867975258736e-11,0.1760431211946429,1.7961825794604762e-11,3.9095887389834445,,0.43816968822328095,3.5777415980162846,20.66427162119615,1.005121515673304,,1.1736078473037446e-10,4.242185360982292,18.42825449229157,1.9999999999996667,5.641681810035641e-12,0.05155788879155415,3.717987839235799e-12,0.034526171554206314,0.16610604241263335,0.14493860434383748,0.1398627310289059,0.14781987207573527,0.9948090935956219,0.9895422050001458,0.9925152742670379,0.9922888576209351,0.0448092171384076,0.013578550648002305,0.008147130388801382,0.0221782993917371
S010,0.09557891282076872,1.4148262026556437,3.787220979311051e-11,3.9624022365821584e-10,2.5678266733611508e-11,4.159179205821349e-11,0.4822578597600007,0.03707695749232986,1.4691381929326945e-11,0.02512973378447872,9.95741133523327e-12,1.6074567215344615,,1.352085305179817,0.7282385336188492,19.872488032944048,0.2984974052837289,11.028183497034341,1.850097432728382,0.8957726731669663,18.253080519398015,0.301279076223813,9.708793605512502e-12,0.07640955913729838,1.4317875289093318e-11,0.1062590392515902,0.14083705335295443,0.13312028145229216,0.13584428240221263,0.13029285400688506,0.9720754321380971,0.9640018163088923,0.980392732919316,0.9721566604554351,0.0027157101296004607,0.1249226659616212,0.012220695583202074,0.04661969055814125
